utc,pair,travel_s,no_traffic_s,historic_s,delay_s,length_m,status
2026-08-18T15:59:04Z,i5sb_span,1570,1324,1660,0,14034,ok
2026-08-18T15:59:04Z,vanc_pdx,1442,1225,1564,7,13412,ok
2026-08-18T15:59:04Z,i5sb_detour,1195,1033,1255,0,9442,ok
2026-08-18T15:59:04Z,interstate_sb,985,854,1036,0,6162,ok
2026-08-18T15:59:04Z,williams_nb,844,809,872,0,8210,ok
2026-08-18T15:59:04Z,mlk_sb,1141,945,1213,0,10023,ok
2026-08-18T15:59:04Z,grand_nb,690,606,727,0,9773,ok
2026-08-18T15:59:04Z,i205_sb,544,540,567,0,11198,ok
2026-08-18T15:59:04Z,i84wb_feeder,1075,913,1133,0,7890,ok
2026-08-18T15:59:04Z,powell_wb,827,618,903,0,7125,ok
2026-08-18T15:59:04Z,ctrl_west,1737,1492,1747,69,31189,ok
2026-08-18T15:59:04Z,ctrl_se,1156,998,1216,0,12385,ok
